bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
2166,The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,3.77,0743564367,9780743564366,eng,3,393,77,5/1/2006,Simon  Schuster Audio
3593,Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),NOT A BOOK,4.00,0743564677,9780743564670,eng,0,7,2,10/3/2006,Simon  Schuster Audio
3875,The Sun Also Rises,Ernest Hemingway/William Hurt,3.82,0743564413,9780743564410,eng,8,302,69,10/17/2006,Simon  Schuster Audio
10587,The Man in the Black Suit: 4 Dark Tales,Stephen King/Ana Juan/John Cullum/Becky Ann Baker/�?ñigo Jáuregui/Peter Gerety/Arliss Howard,3.78,074352585X,9780743525855,eng,128,1369,101,11/1/2002,Simon  Schuster Audio
10796,A Farewell to Arms,Ernest Hemingway/John Slattery,3.80,0743564375,9780743564373,eng,8,290,65,5/1/2006,Simon  Schuster Audio
11605,Riding the Bullet,Stephen King/Josh Hamilton,3.63,0743525876,9780743525879,eng,66,11649,270,5/1/2002,Simon  Schuster Audio
24591,The Short Stories  Vol 3,Ernest Hemingway/Stacy Keach,3.77,0743527291,9780743527293,eng,5,80,6,3/1/2003,Simon  Schuster Audio
32668,LT's Theory of Pets,Stephen King,3.69,074352005X,9780743520058,eng,1,2824,140,8/1/2001,Simon  Schuster Audio
38678,Peter Pan,J.M. Barrie/Tim Curry,4.08,0743564529,9780743564526,eng,5,46,7,10/5/2006,Simon  Schuster Audio
