bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
1526,Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.02,081221627X,9780812216271,eng,178,12,3,11/1/1997,University of Pennsylvania Press
1531,Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.10,0812216717,9780812216714,en-GB,232,12,2,1/1/1998,University of Pennsylvania Press
1563,Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,Aristophanes/David R. Slavitt,3.83,0812234561,9780812234565,eng,336,4,0,1/29/1998,University of Pennsylvania Press
13347,Euripides 3: Alcestis/Daughters of Troy/The Phoenician Women/Iphigenia at Aulis/Rhesus,Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou,3.88,0812216504,9780812216509,eng,392,7,1,6/1/1998,University of Pennsylvania Press
17619,The Negro,W.E.B. Du Bois/Robert Gregg,4.32,0812217756,9780812217759,eng,284,29,4,5/22/2001,University of Pennsylvania Press
20738,Forms of Talk,Erving Goffman,3.81,081221112X,9780812211122,eng,344,82,2,3/1/1981,University of Pennsylvania Press
