bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60,043927169X,9780439271691,eng,32,15,0,1/1/2002,Teaching Resources
2843,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5.00,0439271711,9780439271714,eng,32,4,1,1/1/2002,Teaching Resources
20126,Expository Writing: Mini-Lessons * Strategies * Activities,Tara McCarthy/Drew Hires/Jaime Lucero/Vincent Ceci,4.33,0590103873,9780590103879,eng,88,3,0,4/1/1998,Teaching Resources
26670,Scholastic Success with 4th Grade Workbook,Terry Cooper,4.12,0439569729,9780439569729,en-US,416,8,0,6/1/2003,Teaching Resources
