bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,0471743674,9780471743675,en-US,245,228,16,10/1/2005,John Wiley & Sons
2219,Baby Signing For Dummies,Jennifer Watson,3.64,0471773867,9780471773863,eng,257,37,9,10/1/2006,John Wiley & Sons
3604,Personal Finance for Dummies,Eric Tyson/Rich Tennant,3.77,0764525905,9780764525902,eng,454,925,92,8/1/2003,John Wiley & Sons
22127,Crash Proof: How to Profit from the Coming Economic Collapse,Peter D. Schiff/John Downes,3.78,0470043601,9780470043608,eng,272,1086,89,2/1/2007,John Wiley & Sons
22221,The Iliad,Homer,3.86,0471377589,9780471377580,eng,150,3834,134,10/28/1999,John Wiley & Sons
23516,Astronomy: A Self-Teaching Guide,Dinah L. Moché,3.89,0471265187,9780471265184,eng,343,113,10,2/24/2004,John Wiley & Sons
25299,Investing in Real Estate,Andrew James McLean/Gary W. Eldred,3.82,0471741205,9780471741206,eng,314,200,12,11/1/2005,John Wiley & Sons
37979,Information Technology for Management: Transforming Organizations in the Digital Economy,Efraim Turban/Dorothy Leidner/James C. Wetherbe/Ephraim McLean/Christy Cheung/Daniel Tse/Maggie Lew,3.93,0471705225,9780471705222,eng,724,109,3,1/1/2005,John Wiley & Sons
