bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
23876,Of Love and Other Demons,Gabriel García Márquez,3.98,0517405091,9780517405093,eng,160,35045,1116,5/2/1995,Penguin Group (USA)
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel/Martin Gardner,4.07,0451527747,9780451527745,eng,239,381097,6041,12/1/2000,Penguin Group (USA)
42899,Dark Lover (Black Dagger Brotherhood  #1),J.R. Ward,4.20,0451216954,9780451216953,eng,393,259511,10475,9/6/2005,Penguin Group (USA)
