bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
5893,The Woman in White,Wilkie Collins/Maria K. Bachman/Don Richard Cox,4.00,1551116448,9781551116440,eng,696,122,15,4/20/2006,Broadview Press Inc
12194,Lord Jim,Joseph Conrad,3.62,1551111721,9781551111728,eng,455,21925,838,11/7/2000,Broadview Press Inc
36402,The Governess; or  The Little Female Academy,Sarah Fielding/Candace Ward,2.63,1551114127,9781551114125,eng,242,132,18,9/26/2005,Broadview Press Inc
37700,Alice's Adventures in Wonderland,Lewis Carroll/Richard  Kelly,4.02,155111223X,9781551112237,eng,356,73,8,9/13/2000,Broadview Press Inc
40022,The Hound of the Baskervilles: Another Adventure of Sherlock Holmes  with "the Adventure of the Speckled Band",Arthur Conan Doyle/Francis O'Gorman,4.11,1551117223,9781551117225,eng,300,1356,32,1/10/2006,Broadview Press Inc
