bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
26216,Patrick: Patron Saint of Ireland,Tomie dePaola,4.08,0823410773,9780823410774,en-US,30,89,5,1/1/1992,Holiday House
28158,A Picture Book of Thomas Jefferson (Picture Book Biographies) (Picture Book Biography),David A. Adler/John Wallner/Alexandra Wallner,3.75,0823408817,9780823408818,en-US,32,14,4,3/1/1991,Holiday House
43072,A Picture Book of Anne Frank,David A. Adler/Karen Ritz,4.18,0823410781,9780823410781,en-US,32,217,70,1/1/1993,Holiday House
