bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
14707,Faust  Part Two,Johann Wolfgang von Goethe/David  Luke,3.73,0192836366,9780192836366,eng,304,3560,87,7/22/1999,Oxford University Press  USA
15651,Inferno (La Divina Commedia #1),Dante Alighieri/Ronald L. Martinez/Robert M. Durling/Robert Turner,4.00,0195087445,9780195087444,eng,672,468,50,3/6/1997,Oxford University Press  USA
18546,King Lear,William Shakespeare/Stanley Wells,3.91,0192839926,9780192839923,eng,336,233,15,4/12/2001,Oxford University Press  USA
18591,Hamlet (Oxford Bookworms Library: Stage 2),Alistair McCallum/William Shakespeare,3.89,0194232204,9780194232203,eng,54,164,6,10/1/2005,Oxford University Press  USA
18959,El Libertador: Writings of Simón Bolívar,Simón Bolívar/Frederick H. Fornoff/David Bushnell,3.84,0195144813,9780195144819,eng,288,7,1,5/15/2003,Oxford University Press  USA
19164,Purgatorio (La Divina Commedia #2),Dante Alighieri/Robert M. Durling,4.02,0195087453,9780195087451,ita,704,15675,244,4/8/2004,Oxford University Press  USA
23257,The Great Philosophers: An Introduction to Western Philosophy,Bryan Magee/Myles Burnyeat/Martha C. Nussbaum/Anthony Kenny/Bernard Williams/Anthony Quinton/Michael  Ayres/John Passmore/Geoffrey Warnock/Peter Singer/Frederick Charles Copleston/J. P. Stern/Hubert L. Dreyfus/Sidney Morgenbesser/A.J. Ayer/John Rogers Searle,4.07,019289322X,9780192893222,eng,352,359,18,1/18/2001,Oxford University Press  USA
23276,Taxation of Mineral Rents,Ross Garnaut,5.00,0198284543,9780198284543,eng,350,1,0,11/17/1983,Oxford University Press  USA
23525,Norse Mythology: A Guide to the Gods  Heroes  Rituals  and Beliefs,John Lindow,4.11,0195153820,9780195153828,eng,365,1107,33,10/17/2002,Oxford University Press  USA
24666,Tales of the Norse Gods,Barbara Leonie Picard/Rosamund Fowler,4.05,0192751166,9780192751164,en-GB,160,43,4,3/22/2001,Oxford University Press  USA
27036,Augustine,Henry Chadwick,3.71,0192875345,9780192875341,eng,128,14,3,6/19/1986,Oxford University Press  USA
28436,Strategies of Containment: A Critical Appraisal of American National Security Policy During the Cold War,John Lewis Gaddis,4.03,019517447X,9780195174472,en-US,484,552,26,7/1/2005,Oxford University Press  USA
28457,First Love and Other Stories,Ivan Turgenev/Richard Freeborn,4.14,0192836897,9780192836892,eng,304,1245,26,10/28/1999,Oxford University Press  USA
28929,American Legal History: Cases and Materials,Kermit L. Hall/Paul Finkelman/James W. Jr. Ely,3.50,0195162250,9780195162257,eng,736,31,0,10/1/2004,Oxford University Press  USA
29990,Notebooks of the Mind: Explorations of Thinking  Revised Edition,Vera John-Steiner,3.83,0195108965,9780195108965,eng,288,17,1,1/23/1997,Oxford University Press  USA
31247,A Christmas Carol and Other Christmas Books,Charles Dickens/Robert Douglas-Fairhurst,3.96,0192806947,9780192806949,eng,438,156,20,11/1/2007,Oxford University Press  USA
31570,Curry: A Tale of Cooks and Conquerors,Lizzie Collingham,3.90,0195172418,9780195172416,eng,315,753,111,2/6/2006,Oxford University Press  USA
31800,The Oxford Companion to Philosophy,Ted Honderich,4.15,0199264791,9780199264797,en-GB,1056,51,3,5/26/2005,Oxford University Press  USA
31839,Philosophy of Mind: Classical and Contemporary Readings,David J. Chalmers,4.08,019514581X,9780195145816,eng,675,435,14,7/25/2002,Oxford University Press  USA
