bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
6129,Siddhartha,Hermann Hesse,4.02,2253008486,9782253008484,fre,160,590,29,10/31/1975,Le Livre de Poche
15975,Blonde,Joyce Carol Oates/Claude Seban,3.99,2253152854,9782253152859,fre,1110,6903,522,4/30/2002,Le Livre de Poche
21848,Double Image,David Morrell,3.55,2253172286,9782253172284,fre,510,3,1,4/10/2002,Le Livre de Poche
21862,La Cinquième profession,David Morrell,3.99,2253060704,9782253060703,fre,539,9,2,6/1/1992,Le Livre de Poche
23080,Le Nom de la rose,Umberto Eco/Jean-Noël Schifano,4.12,2253033138,9782253033134,fre,755,745,49,11/2/1983,Le Livre de Poche
24858,Narcisse et Goldmund,Hermann Hesse,4.20,2253000043,9782253000044,fre,251,229,19,1/1/1991,Le Livre de Poche
28963,Dans les coulisses du musée,Kate Atkinson/Jean Bourdier,3.96,2253144908,9782253144908,fre,410,45,4,9/23/1998,Le Livre de Poche
33064,L'Équilibre du monde,Rohinton Mistry/Françoise Adelstain,4.36,225315086X,9782253150862,fre,890,152,11,6/20/2001,Le Livre de Poche
