bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
24432,Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce/Trini Alvarado,4.27,0307283798,9780307283795,eng,12,74,20,12/13/2005,Listening Library
45465,Artemis Fowl (Artemis Fowl  #1),Eoin Colfer/Nathaniel Parker,3.84,1400085918,9781400085910,eng,6,55,14,4/6/2004,Listening Library
45485,The Subtle Knife (His Dark Materials  #2),Philip Pullman,4.13,0807210471,9780807210475,eng,8,39,8,1/28/2000,Listening Library
