bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
17032,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,3.82,1406503436,9781406503432,eng,100,11,1,1/16/2006,Dodo Press
25932,Lost Illusions (La Comédie Humaine),Honoré de Balzac/Ellen Marriage/George Saintsbury,4.16,1406506583,9781406506587,eng,656,6422,161,5/1/2006,Dodo Press
45057,Stalky & Co.,Rudyard Kipling,3.89,1406503258,9781406503258,eng,212,552,42,12/21/2005,Dodo Press
