bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
25329,The Dobe Ju/'hoansi,Richard B. Lee,3.58,0155063332,9780155063334,eng,272,356,25,2/4/2002,Wadsworth Publishing Company
29460,Sociology in Our Times,Diana Kendall,3.21,0495006858,9780495006855,eng,742,1,0,1/1/2006,Wadsworth Publishing Company
31478,Slaughterhouse Blues: The Meat and Poultry Industry in North America,Donald D. Stull/Michael J. Broadway/Eric Schlosser,3.46,0534613039,9780534613037,en-US,172,27,1,4/17/2003,Wadsworth Publishing Company
31822,Philosophy of Religion: An Anthology,Louis P. Pojman,3.94,0534543642,9780534543648,en-US,582,97,7,5/7/2002,Wadsworth Publishing Company
