bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
13345,Sabriel (Abhorsen  #1),Garth Nix,4.17,0060575816,9780060575816,en-US,311,1312,162,8/17/2004,Eos
15460,The Color of Her Panties (Xanth #15),Piers Anthony,3.67,0380759497,9780380759491,eng,342,7374,64,9/1/1992,Eos
24769,Blue Noon (Midnighters  #3),Scott Westerfeld,3.85,0060519592,9780060519599,eng,384,14798,718,2/6/2007,Eos
27692,The Wicked Day (Arthurian Saga  #4),Mary  Stewart,4.09,0060548282,9780060548285,eng,417,10055,244,5/1/2003,Eos
40158,The Queen of Attolia (The Queen's Thief  #2),Megan Whalen Turner,4.19,0060841826,9780060841829,eng,362,31060,2786,1/24/2006,Eos
