bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
23307,Ulysses S. Grant,Josiah Bunting/Arthur M. Schlesinger Jr.,3.89,0805069496,9780805069495,eng,208,445,40,9/8/2004,Times Books
34191,John Adams,John Patrick Diggins/Arthur M. Schlesinger Jr.,3.88,0805069372,9780805069372,eng,224,383,47,6/11/2003,Times Books
36904,Warren G. Harding (The American Presidents  #29),John W. Dean/Arthur M. Schlesinger Jr.,3.73,0805069569,9780805069563,eng,202,764,82,1/7/2004,Times Books
42525,Dwight D. Eisenhower (The American Presidents  #34),Tom Wicker/Arthur M. Schlesinger Jr.,3.84,0805069070,9780805069075,en-US,176,248,30,11/5/2002,Times Books
